species,latitude,longitude
phytopathogens,-16.996035,32.717802
phytopathogens,-16.996988,32.717758
phytopathogens,-17.004118,32.722772
phytopathogens,-17.026857,32.592667
phytopathogens,-17.031615,32.590081
phytopathogens,-17.032728,32.586291
phytopathogens,-17.030472,32.60371
phytopathogens,-17.030472,32.60371
phytopathogens,-16.99365,32.647008
phytopathogens,-16.992847,32.64588
phytopathogens,-16.994097,32.64725
phytopathogens,-16.99388,32.647378
phytopathogens,-16.994097,32.64725
phytopathogens,-16.99418,32.647425
phytopathogens,-16.989335,32.6444073
phytopathogens,-17.081453,32.603888
phytopathogens,-17.081907,32.622893
phytopathogens,-17.046595,32.587858
phytopathogens,-17.012527,32.51848
phytopathogens,-17.058585,32.58092
phytopathogens,-17.087344,32.14675
phytopathogens,-17.050193,32.566795
phytopathogens,-17.109526,32.23178
phytopathogens,-16.960512,32.514253
phytopathogens,-17.01895,32.5833
phytopathogens,-17.008807,32.574573
phytopathogens,-16.957722,32.518553
phytopathogens,-17.024045,32.745022
phytopathogens,-17.024045,32.745022
phytopathogens,-17.07125,32.739983
phytopathogens,-17.026235,32.75237
phytopathogens,-16.989818,32.717743
phytopathogens,-16.992635,32.718453
phytopathogens,-17.014225,32.741417
phytopathogens,-17.013888,32.737635
phytopathogens,-17.013888,32.737635
phytopathogens,-16.996997,32.714666
phytopathogens,-17.027117,32.751942
phytopathogens,-17.025148,32.755697
phytopathogens,-17.030472,32.60371
phytopathogens,-17.037875,32.573831
phytopathogens,-17.036603,32.583231
phytopathogens,-17.034712,32.586963
phytopathogens,-16.994158,32.647807
phytopathogens,-16.988172,32.64348
phytopathogens,-16.989335,32.6444073
phytopathogens,-16.957722,32.518553
phytopathogens,-16.957722,32.518553
phytopathogens,-16.958217,32.519053
phytopathogens,-17.013888,32.737635
phytopathogens,-17.013888,32.737635
phytopathogens,-17.013888,32.737635
phytopathogens,-17.89952,32.620015
phytopathogens,-17.048623,32.56796
phytopathogens,-17.013888,32.737635
phytopathogens,-16.996035,32.717802
phytopathogens,-17.030399,32.602602
phytopathogens,-17.031615,32.590081
phytopathogens,-16.994097,32.64725
phytopathogens,-16.994097,32.64725
phytopathogens,-16.959148,32.316057
phytopathogens,-16.944925,32.318137
phytopathogens,-17.008656,32.582579
phytopathogens,-17.010936,32.580177
phytopathogens,-17.024045,32.745022
phytopathogens,-16.988795,32.715273
phytopathogens,-17.014225,32.741417
phytopathogens,-17.013888,32.737635
phytopathogens,-17.027052,32.75494
phytopathogens,-17.026235,32.75237
phytopathogens,-16.999738,32.721853
phytopathogens,-17.000546,32.723123
phytopathogens,-16.996988,32.717758
phytopathogens,-16.992352,32.718807
phytopathogens,-17.030472,32.60371
phytopathogens,-17.028604,32.593291
phytopathogens,-17.03687667,32.5755421
phytopathogens,-17.032728,32.586291
phytopathogens,-16.994097,32.64725
phytopathogens,-16.989337,32.64403
phytopathogens,-16.959148,32.316057
phytopathogens,-16.994142,32.6473846
phytopathogens,-16.944925,32.318137
phytopathogens,-17.081453,32.603888
phytopathogens,-17.097275,32.1623223
phytopathogens,-17.081633,32.60859
phytopathogens,-17.047855,32.5677
phytopathogens,-17.053668,32.58422
phytopathogens,-17.053582,32.58176
phytopathogens,-16.998483,32.718537
phytopathogens,-17.032728,32.586291
phytopathogens,-16.960512,32.514253
phytopathogens,-17.89952,32.620015
phytopathogens,-16.958217,32.519053
phytopathogens,-16.958217,32.519053
phytopathogens,-16.958217,32.519053
phytopathogens,-17.097438,32.628145
phytopathogens,-17.080957,32.60355
phytopathogens,-17.081633,32.60859
phytopathogens,-17.65418,32.56127
phytopathogens,-17.053668,32.58422
phytopathogens,-17.012523,32.578279
phytopathogens,-17.007566,32.562807
phytopathogens,-17.07125,32.739983
